pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total No. of Valid Votes,No.of rejected votes         (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
11,Kalahandi,74,Junagarh,228,,,,,,,,157,53,139,13,362,0,16,378,0
11,Kalahandi,74,Junagarh,229,,,,,,,,364,72,270,23,729,0,21,750,0
11,Kalahandi,74,Junagarh,230,,,,,,,,270,76,20,7,373,0,10,383,0
11,Kalahandi,74,Junagarh,231,,,,,,,,149,101,269,16,535,0,14,549,0
11,Kalahandi,74,Junagarh,232,,,,,,,,313,98,197,12,620,0,11,631,0
11,Kalahandi,74,Junagarh,233,,,,,,,,171,79,278,16,544,0,12,556,0
11,Kalahandi,74,Junagarh,234,,,,,,,,282,47,230,16,575,0,18,593,0
11,Kalahandi,74,Junagarh,235,,,,,,,,335,183,327,24,869,0,26,895,0
11,Kalahandi,74,Junagarh,236,,,,,,,,490,124,223,26,863,0,33,896,0
11,Kalahandi,74,Junagarh,237,,,,,,,,422,168,374,35,999,0,53,1052,0
11,Kalahandi,74,Junagarh,238,,,,,,,,406,111,365,16,898,0,8,906,0
11,Kalahandi,74,Junagarh,239,,,,,,,,408,60,104,11,583,0,5,588,0
11,Kalahandi,74,Junagarh,240,,,,,,,,338,70,276,18,702,0,28,730,0
11,Kalahandi,74,Junagarh,241,,,,,,,,266,98,659,37,1060,0,53,1113,0
11,Kalahandi,74,Junagarh,242,,,,,,,,296,48,381,13,738,0,29,767,0
11,Kalahandi,74,Junagarh,243,,,,,,,,197,40,252,14,503,0,15,518,0
11,Kalahandi,74,Junagarh,244,,,,,,,,398,47,252,20,717,0,36,753,0
11,Kalahandi,74,Junagarh,245,,,,,,,,169,53,378,12,612,0,15,627,0
11,Kalahandi,74,Junagarh,246,,,,,,,,188,14,17,5,224,0,2,226,0
11,Kalahandi,74,Junagarh,247,,,,,,,,323,44,231,23,621,0,14,635,0
11,Kalahandi,74,Junagarh,248,,,,,,,,358,122,331,26,837,0,17,854,0
11,Kalahandi,74,Junagarh,249,,,,,,,,180,132,249,18,579,0,37,616,0
11,Kalahandi,74,Junagarh,250,,,,,,,,220,112,337,21,690,0,17,707,0
11,Kalahandi,74,Junagarh,251,,,,,,,,271,53,197,17,538,0,16,554,0
11,Kalahandi,74,Junagarh,252,,,,,,,,325,56,127,22,530,0,54,584,0
11,Kalahandi,74,Junagarh,253,,,,,,,,272,145,195,35,647,0,41,688,0
11,Kalahandi,74,Junagarh,254,,,,,,,,101,49,184,23,357,0,56,413,0
11,Kalahandi,74,Junagarh,255,,,,,,,,174,47,215,28,464,0,49,513,0
