pc_id,pc_name,ac_id,ac_name,Polling Booth No,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,No. Of Rejected votes (Test votes),Nota,Cumulative Total
7,Bhadrak,42,Chandabali,159,,,,,,,,23,395,208,3,0,629,nan,1,630
7,Bhadrak,42,Chandabali,160,,,,,,,,91,482,358,1,1,933,nan,1,934
7,Bhadrak,42,Chandabali,161,,,,,,,,21,304,178,1,0,504,nan,4,508
7,Bhadrak,42,Chandabali,162,,,,,,,,22,401,353,1,0,777,nan,1,778
7,Bhadrak,42,Chandabali,163,,,,,,,,4,300,210,2,1,517,nan,2,519
7,Bhadrak,42,Chandabali,164,,,,,,,,16,370,452,5,0,843,nan,1,844
7,Bhadrak,42,Chandabali,165,,,,,,,,36,568,282,1,2,889,nan,9,898
7,Bhadrak,42,Chandabali,166,,,,,,,,23,367,188,1,1,580,nan,2,582
7,Bhadrak,42,Chandabali,167,,,,,,,,11,255,98,1,3,368,nan,0,368
7,Bhadrak,42,Chandabali,168,,,,,,,,5,203,78,1,0,287,nan,0,287
7,Bhadrak,42,Chandabali,169,,,,,,,,16,276,203,2,3,500,nan,4,504
7,Bhadrak,42,Chandabali,170,,,,,,,,43,241,239,3,0,526,nan,5,531
7,Bhadrak,42,Chandabali,171,,,,,,,,45,367,266,4,1,683,nan,3,686
7,Bhadrak,42,Chandabali,172,,,,,,,,135,505,347,2,1,990,nan,6,996
7,Bhadrak,42,Chandabali,173,,,,,,,,35,346,413,1,1,796,nan,2,798
7,Bhadrak,42,Chandabali,174,,,,,,,,44,388,370,3,0,805,nan,4,809
7,Bhadrak,42,Chandabali,175,,,,,,,,24,352,421,0,2,799,nan,2,801
7,Bhadrak,42,Chandabali,176,,,,,,,,15,209,323,1,0,548,nan,1,549
7,Bhadrak,42,Chandabali,177,,,,,,,,55,95,124,0,0,274,nan,0,274
7,Bhadrak,42,Chandabali,178,,,,,,,,29,176,331,3,1,540,nan,5,545
7,Bhadrak,42,Chandabali,179,,,,,,,,59,413,514,1,1,988,nan,1,989
7,Bhadrak,42,Chandabali,180,,,,,,,,22,418,298,2,1,741,nan,6,747
7,Bhadrak,42,Chandabali,181,,,,,,,,42,443,325,2,3,815,nan,6,821
7,Bhadrak,42,Chandabali,182,,,,,,,,10,323,132,4,2,471,nan,2,473
7,Bhadrak,42,Chandabali,183,,,,,,,,5,212,87,0,0,304,nan,0,304
7,Bhadrak,42,Chandabali,184,,,,,,,,11,248,127,0,0,386,nan,1,387
7,Bhadrak,42,Chandabali,185,,,,,,,,34,484,336,2,1,857,nan,3,860
7,Bhadrak,42,Chandabali,186,,,,,,,,14,377,347,3,0,741,nan,5,746
7,Bhadrak,42,Chandabali,187,,,,,,,,12,598,313,7,3,933,nan,6,939
7,Bhadrak,42,Chandabali,188,,,,,,,,49,447,452,6,6,960,nan,5,965
7,Bhadrak,42,Chandabali,189,,,,,,,,5,184,146,1,1,337,nan,2,339
7,Bhadrak,42,Chandabali,190,,,,,,,,19,282,243,4,2,550,nan,1,551
7,Bhadrak,42,Chandabali,191,,,,,,,,59,446,336,2,0,843,nan,2,845
7,Bhadrak,42,Chandabali,192,,,,,,,,39,424,270,1,1,735,nan,4,739
7,Bhadrak,42,Chandabali,193,,,,,,,,12,211,156,1,1,381,nan,2,383
7,Bhadrak,42,Chandabali,194,,,,,,,,78,485,394,1,2,960,nan,6,966
7,Bhadrak,42,Chandabali,195,,,,,,,,229,363,349,3,3,947,nan,3,950
7,Bhadrak,42,Chandabali,196,,,,,,,,40,357,207,0,0,604,nan,3,607
7,Bhadrak,42,Chandabali,197,,,,,,,,20,209,252,4,0,485,nan,1,486
7,Bhadrak,42,Chandabali,198,,,,,,,,34,240,139,1,0,414,nan,5,419
7,Bhadrak,42,Chandabali,199,,,,,,,,5,147,367,1,3,523,nan,0,523
7,Bhadrak,42,Chandabali,200,,,,,,,,13,351,304,1,2,671,nan,1,672
7,Bhadrak,42,Chandabali,201,,,,,,,,20,448,432,1,1,902,nan,0,902
7,Bhadrak,42,Chandabali,202,,,,,,,,41,349,282,3,1,676,nan,3,679
7,Bhadrak,42,Chandabali,203,,,,,,,,14,149,342,2,0,507,nan,2,509
7,Bhadrak,42,Chandabali,204,,,,,,,,91,520,401,1,1,1014,nan,2,1016
7,Bhadrak,42,Chandabali,205,,,,,,,,36,382,175,1,0,594,nan,0,594
7,Bhadrak,42,Chandabali,206,,,,,,,,41,349,287,2,1,680,nan,1,681
7,Bhadrak,42,Chandabali,207,,,,,,,,40,603,323,5,1,972,nan,0,972
7,Bhadrak,42,Chandabali,208,,,,,,,,23,435,274,0,1,733,nan,0,733
7,Bhadrak,42,Chandabali,209,,,,,,,,14,465,324,3,1,807,nan,3,810
7,Bhadrak,42,Chandabali,210,,,,,,,,29,294,341,0,0,664,nan,1,665
7,Bhadrak,42,Chandabali,211,,,,,,,,17,332,329,3,3,684,nan,2,686
7,Bhadrak,42,Chandabali,212,,,,,,,,25,329,339,4,1,698,nan,1,699
7,Bhadrak,42,Chandabali,213,,,,,,,,38,175,185,3,0,401,nan,3,404
7,Bhadrak,42,Chandabali,214,,,,,,,,45,366,330,6,2,749,nan,4,753
7,Bhadrak,42,Chandabali,215,,,,,,,,17,447,396,3,1,864,nan,2,866
7,Bhadrak,42,Chandabali,216,,,,,,,,13,461,356,2,1,833,nan,3,836
7,Bhadrak,42,Chandabali,217,,,,,,,,10,339,255,3,2,609,nan,2,611
7,Bhadrak,42,Chandabali,218,,,,,,,,8,330,224,1,1,564,nan,3,567
7,Bhadrak,42,Chandabali,219,,,,,,,,35,343,342,2,0,722,nan,1,723
7,Bhadrak,42,Chandabali,220,,,,,,,,43,296,281,2,0,622,nan,0,622
7,Bhadrak,42,Chandabali,221,,,,,,,,63,263,263,0,0,589,nan,1,590
7,Bhadrak,42,Chandabali,222,,,,,,,,73,409,282,1,0,765,nan,2,767
7,Bhadrak,42,Chandabali,223,,,,,,,,130,361,256,2,2,751,nan,1,752
7,Bhadrak,42,Chandabali,224,,,,,,,,46,360,321,1,0,728,nan,3,731
7,Bhadrak,42,Chandabali,225,,,,,,,,9,204,189,1,0,403,nan,0,403
7,Bhadrak,42,Chandabali,226,,,,,,,,3,225,114,0,1,343,nan,2,345
7,Bhadrak,42,Chandabali,227,,,,,,,,19,255,170,0,0,444,nan,0,444
7,Bhadrak,42,Chandabali,228,,,,,,,,9,236,175,0,0,420,nan,2,422
7,Bhadrak,42,Chandabali,229,,,,,,,,16,377,330,0,1,724,nan,2,726
7,Bhadrak,42,Chandabali,230,,,,,,,,11,153,156,0,0,320,nan,2,322
7,Bhadrak,42,Chandabali,231,,,,,,,,9,224,239,2,0,474,nan,2,476
7,Bhadrak,42,Chandabali,232,,,,,,,,7,157,175,3,2,344,nan,2,346
7,Bhadrak,42,Chandabali,233,,,,,,,,4,197,163,0,0,364,nan,0,364
7,Bhadrak,42,Chandabali,234,,,,,,,,36,257,274,1,2,570,nan,0,570
7,Bhadrak,42,Chandabali,235,,,,,,,,25,276,321,1,1,624,nan,3,627
7,Bhadrak,42,Chandabali,236,,,,,,,,47,231,235,2,0,515,nan,4,519
7,Bhadrak,42,Chandabali,237,,,,,,,,16,144,219,0,0,379,nan,0,379
7,Bhadrak,42,Chandabali,238,,,,,,,,13,264,258,2,0,537,nan,1,538
7,Bhadrak,42,Chandabali,239,,,,,,,,23,469,340,6,0,838,nan,6,844
7,Bhadrak,42,Chandabali,240,,,,,,,,29,377,520,9,2,937,nan,6,943
7,Bhadrak,42,Chandabali,241,,,,,,,,19,440,337,2,1,799,nan,3,802
7,Bhadrak,42,Chandabali,242,,,,,,,,10,529,464,2,0,1005,nan,1,1006
7,Bhadrak,42,Chandabali,243,,,,,,,,19,415,385,3,0,822,nan,4,826
7,Bhadrak,42,Chandabali,244,,,,,,,,24,215,250,1,0,490,nan,0,490
