pc_id,pc_name,ac_id,ac_name,Sl. No.Polling,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid votes,Reject Votes,Votes for NOTA option,Total,Tendered votes
19,Aska,130,Aska,218,,,,,,,,5.0,229.0,35.0,209.0,4.0,482.0,0.0,3.0,485.0,0.0
19,Aska,130,Aska,219,,,,,,,,0.0,128.0,31.0,262.0,8.0,429.0,0.0,4.0,433.0,0.0
19,Aska,130,Aska,220,,,,,,,,7.0,336.0,44.0,430.0,3.0,820.0,0.0,5.0,825.0,0.0
19,Aska,130,Aska,221,,,,,,,,3.0,292.0,91.0,300.0,12.0,698.0,0.0,10.0,708.0,0.0
19,Aska,130,Aska,222,,,,,,,,2.0,194.0,87.0,282.0,1.0,566.0,0.0,10.0,576.0,0.0
19,Aska,130,Aska,223,,,,,,,,2.0,243.0,84.0,415.0,8.0,752.0,0.0,1.0,753.0,0.0
19,Aska,130,Aska,224,,,,,,,,3.0,146.0,31.0,201.0,2.0,383.0,0.0,4.0,387.0,0.0
19,Aska,130,Aska,225,,,,,,,,4.0,128.0,71.0,433.0,6.0,642.0,0.0,4.0,646.0,0.0
19,Aska,130,Aska,226,,,,,,,,5.0,155.0,50.0,468.0,6.0,684.0,0.0,12.0,696.0,0.0
19,Aska,130,Aska,227,,,,,,,,1.0,73.0,34.0,153.0,0.0,261.0,0.0,1.0,262.0,0.0
19,Aska,130,Aska,228,,,,,,,,2.0,154.0,49.0,403.0,3.0,611.0,0.0,6.0,617.0,0.0
19,Aska,130,Aska,229,,,,,,,,2.0,231.0,48.0,347.0,9.0,637.0,0.0,1.0,638.0,0.0
19,Aska,130,Aska,230,,,,,,,,0.0,32.0,18.0,307.0,3.0,360.0,0.0,2.0,362.0,0.0
19,Aska,130,Aska,231,,,,,,,,10.0,43.0,32.0,590.0,13.0,688.0,0.0,21.0,709.0,0.0
19,Aska,130,Aska,232,,,,,,,,4.0,228.0,47.0,230.0,2.0,511.0,0.0,6.0,517.0,0.0
19,Aska,130,Aska,233,,,,,,,,1.0,144.0,48.0,213.0,6.0,412.0,0.0,3.0,415.0,0.0
19,Aska,130,Aska,234,,,,,,,,2.0,278.0,69.0,315.0,3.0,667.0,0.0,2.0,669.0,0.0
19,Aska,130,Aska,235,,,,,,,,5.0,224.0,90.0,328.0,12.0,659.0,0.0,28.0,687.0,0.0
19,Aska,130,Aska,236,,,,,,,,0.0,77.0,64.0,111.0,0.0,252.0,0.0,0.0,252.0,0.0
19,Aska,130,Aska,237,,,,,,,,6.0,303.0,38.0,260.0,5.0,612.0,0.0,8.0,620.0,0.0
19,Aska,130,Aska,238,,,,,,,,2.0,136.0,31.0,197.0,1.0,367.0,0.0,9.0,376.0,0.0
19,Aska,130,Aska,239,,,,,,,,5.0,198.0,52.0,335.0,6.0,596.0,0.0,4.0,600.0,0.0
19,Aska,130,Aska,240,,,,,,,,13.0,242.0,90.0,523.0,9.0,877.0,0.0,19.0,896.0,0.0
19,Aska,130,Aska,241,,,,,,,,3.0,215.0,85.0,194.0,4.0,501.0,0.0,12.0,513.0,0.0
19,Aska,130,Aska,242,,,,,,,,5.0,316.0,46.0,83.0,2.0,452.0,0.0,4.0,456.0,0.0
19,Aska,130,Aska,243,,,,,,,,7.0,245.0,82.0,218.0,6.0,558.0,0.0,9.0,567.0,0.0
19,Aska,130,Aska,244,,,,,,,,6.0,283.0,37.0,204.0,8.0,538.0,0.0,9.0,547.0,0.0
19,Aska,130,Aska,245,,,,,,,,4.0,348.0,47.0,199.0,11.0,609.0,0.0,15.0,624.0,0.0
19,Aska,130,Aska,246,,,,,,,,5.0,220.0,111.0,219.0,12.0,567.0,0.0,18.0,585.0,0.0
19,Aska,130,Aska,247,,,,,,,,2.0,121.0,30.0,94.0,8.0,255.0,0.0,14.0,269.0,0.0
19,Aska,130,Aska,248,,,,,,,,3.0,184.0,45.0,171.0,4.0,407.0,0.0,6.0,413.0,0.0
19,Aska,130,Aska,249,,,,,,,,0.0,79.0,28.0,150.0,2.0,259.0,0.0,2.0,261.0,0.0
19,Aska,130,Aska,250,,,,,,,,8.0,196.0,66.0,94.0,6.0,370.0,0.0,13.0,383.0,0.0
19,Aska,130,Aska,251,,,,,,,,3.0,163.0,54.0,398.0,4.0,622.0,0.0,9.0,631.0,0.0
19,Aska,130,Aska,252,,,,,,,,1.0,261.0,38.0,298.0,1.0,599.0,0.0,7.0,606.0,0.0
19,Aska,130,Aska,253,,,,,,,,5.0,199.0,33.0,149.0,5.0,391.0,0.0,3.0,394.0,0.0
