pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No. of valid votes cast in favour of,NOTA,Total,No. of tender votes,No . Of rejected votes
17,Puri,116,Pipili,220,,,,,,,,191.0,190.0,135.0,2.0,1.0,1.0,1.0,521.0,2.0,523.0,0,0
17,Puri,116,Pipili,221,,,,,,,,324.0,320.0,225.0,3.0,3.0,3.0,3.0,881.0,2.0,883.0,0,0
17,Puri,116,Pipili,222,,,,,,,,218.0,475.0,179.0,2.0,1.0,2.0,1.0,878.0,9.0,887.0,0,0
17,Puri,116,Pipili,223,,,,,,,,104.0,448.0,105.0,2.0,2.0,0.0,1.0,662.0,7.0,669.0,0,0
17,Puri,116,Pipili,224,,,,,,,,92.0,320.0,76.0,0.0,4.0,0.0,3.0,495.0,2.0,497.0,0,0
17,Puri,116,Pipili,225,,,,,,,,183.0,440.0,202.0,5.0,16.0,0.0,1.0,847.0,2.0,849.0,0,0
17,Puri,116,Pipili,226,,,,,,,,176.0,380.0,175.0,2.0,3.0,2.0,3.0,741.0,3.0,744.0,0,0
17,Puri,116,Pipili,227,,,,,,,,249.0,297.0,124.0,2.0,1.0,2.0,5.0,680.0,7.0,687.0,0,0
17,Puri,116,Pipili,228,,,,,,,,241.0,275.0,91.0,0.0,2.0,1.0,2.0,612.0,7.0,619.0,0,0
17,Puri,116,Pipili,229,,,,,,,,140.0,173.0,55.0,2.0,2.0,4.0,1.0,377.0,1.0,378.0,0,0
17,Puri,116,Pipili,230,,,,,,,,230.0,399.0,163.0,3.0,1.0,3.0,1.0,800.0,8.0,808.0,0,0
17,Puri,116,Pipili,231,,,,,,,,189.0,310.0,184.0,1.0,3.0,1.0,2.0,690.0,7.0,697.0,0,0
17,Puri,116,Pipili,232,,,,,,,,34.0,147.0,53.0,0.0,1.0,0.0,0.0,235.0,0.0,235.0,0,0
17,Puri,116,Pipili,233,,,,,,,,187.0,213.0,59.0,0.0,0.0,0.0,0.0,459.0,5.0,464.0,0,0
17,Puri,116,Pipili,234,,,,,,,,233.0,271.0,110.0,2.0,1.0,0.0,1.0,618.0,0.0,618.0,0,0
17,Puri,116,Pipili,235,,,,,,,,124.0,355.0,236.0,5.0,1.0,3.0,1.0,725.0,2.0,727.0,0,0
17,Puri,116,Pipili,236,,,,,,,,206.0,457.0,182.0,1.0,2.0,0.0,0.0,848.0,2.0,850.0,0,0
17,Puri,116,Pipili,237,,,,,,,,222.0,270.0,150.0,3.0,1.0,2.0,8.0,656.0,6.0,662.0,0,0
17,Puri,116,Pipili,238,,,,,,,,202.0,352.0,146.0,2.0,4.0,4.0,1.0,711.0,1.0,712.0,0,0
