pc_id,pc_name,ac_id,ac_name,Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected,NOTA,Total,No. of tendered votes
13,Kandhamal,84,Bhanjanagar,12,,,,,,,,318.0,47.0,32.0,8.0,7.0,3.0,1.0,3.0,419.0,0.0,6.0,425.0,0.0
13,Kandhamal,84,Bhanjanagar,13,,,,,,,,464.0,87.0,62.0,11.0,11.0,17.0,12.0,12.0,676.0,0.0,22.0,698.0,0.0
13,Kandhamal,84,Bhanjanagar,14,,,,,,,,579.0,36.0,132.0,4.0,11.0,9.0,9.0,10.0,790.0,0.0,21.0,811.0,0.0
13,Kandhamal,84,Bhanjanagar,15,,,,,,,,335.0,17.0,101.0,2.0,3.0,8.0,4.0,5.0,475.0,0.0,20.0,495.0,0.0
13,Kandhamal,84,Bhanjanagar,16,,,,,,,,441.0,101.0,112.0,5.0,0.0,0.0,1.0,15.0,675.0,0.0,6.0,681.0,0.0
13,Kandhamal,84,Bhanjanagar,17,,,,,,,,470.0,92.0,180.0,4.0,1.0,4.0,11.0,3.0,765.0,0.0,6.0,771.0,0.0
13,Kandhamal,84,Bhanjanagar,18,,,,,,,,196.0,259.0,159.0,6.0,3.0,3.0,6.0,6.0,638.0,0.0,10.0,648.0,0.0
13,Kandhamal,84,Bhanjanagar,19,,,,,,,,416.0,161.0,128.0,5.0,6.0,3.0,6.0,5.0,730.0,0.0,8.0,738.0,0.0
13,Kandhamal,84,Bhanjanagar,20,,,,,,,,345.0,58.0,42.0,8.0,2.0,3.0,2.0,1.0,461.0,0.0,7.0,468.0,0.0
13,Kandhamal,84,Bhanjanagar,21,,,,,,,,179.0,116.0,138.0,0.0,0.0,1.0,4.0,8.0,446.0,0.0,0.0,446.0,0.0
13,Kandhamal,84,Bhanjanagar,22,,,,,,,,441.0,146.0,175.0,4.0,5.0,1.0,4.0,7.0,783.0,0.0,5.0,788.0,0.0
13,Kandhamal,84,Bhanjanagar,23,,,,,,,,315.0,37.0,60.0,5.0,2.0,0.0,1.0,2.0,422.0,0.0,3.0,425.0,0.0
13,Kandhamal,84,Bhanjanagar,24,,,,,,,,313.0,274.0,175.0,10.0,3.0,4.0,3.0,3.0,785.0,0.0,5.0,790.0,0.0
13,Kandhamal,84,Bhanjanagar,25,,,,,,,,356.0,27.0,61.0,2.0,2.0,1.0,0.0,5.0,454.0,0.0,7.0,461.0,0.0
13,Kandhamal,84,Bhanjanagar,26,,,,,,,,396.0,132.0,208.0,4.0,4.0,4.0,3.0,2.0,753.0,0.0,3.0,756.0,0.0
13,Kandhamal,84,Bhanjanagar,27,,,,,,,,351.0,57.0,40.0,1.0,2.0,0.0,9.0,10.0,470.0,0.0,12.0,482.0,0.0
13,Kandhamal,84,Bhanjanagar,28,,,,,,,,515.0,263.0,65.0,13.0,9.0,12.0,4.0,16.0,897.0,0.0,10.0,907.0,0.0
13,Kandhamal,84,Bhanjanagar,29,,,,,,,,350.0,103.0,83.0,5.0,6.0,7.0,15.0,8.0,577.0,0.0,10.0,587.0,0.0
13,Kandhamal,84,Bhanjanagar,30,,,,,,,,154.0,105.0,116.0,6.0,13.0,7.0,20.0,4.0,425.0,0.0,2.0,427.0,0.0
13,Kandhamal,84,Bhanjanagar,31,,,,,,,,231.0,243.0,99.0,3.0,9.0,5.0,6.0,7.0,603.0,0.0,3.0,606.0,0.0
13,Kandhamal,84,Bhanjanagar,32,,,,,,,,292.0,122.0,69.0,5.0,11.0,14.0,22.0,5.0,540.0,0.0,16.0,556.0,0.0
13,Kandhamal,84,Bhanjanagar,33,,,,,,,,235.0,21.0,71.0,2.0,0.0,0.0,0.0,0.0,329.0,0.0,2.0,331.0,0.0
13,Kandhamal,84,Bhanjanagar,34,,,,,,,,304.0,154.0,71.0,6.0,4.0,4.0,10.0,4.0,557.0,0.0,4.0,561.0,0.0
13,Kandhamal,84,Bhanjanagar,35,,,,,,,,222.0,51.0,74.0,2.0,3.0,1.0,9.0,1.0,363.0,0.0,3.0,366.0,0.0
13,Kandhamal,84,Bhanjanagar,36,,,,,,,,322.0,72.0,178.0,6.0,6.0,5.0,5.0,3.0,597.0,0.0,4.0,601.0,0.0
13,Kandhamal,84,Bhanjanagar,37,,,,,,,,394.0,70.0,214.0,7.0,7.0,9.0,4.0,7.0,712.0,0.0,4.0,716.0,0.0
13,Kandhamal,84,Bhanjanagar,38,,,,,,,,313.0,47.0,86.0,3.0,0.0,0.0,3.0,1.0,453.0,0.0,6.0,459.0,0.0
13,Kandhamal,84,Bhanjanagar,39,,,,,,,,334.0,65.0,111.0,3.0,6.0,3.0,4.0,2.0,528.0,0.0,5.0,533.0,0.0
13,Kandhamal,84,Bhanjanagar,40,,,,,,,,371.0,75.0,164.0,3.0,2.0,0.0,0.0,6.0,621.0,0.0,11.0,632.0,0.0
13,Kandhamal,84,Bhanjanagar,41,,,,,,,,526.0,145.0,43.0,4.0,0.0,0.0,3.0,5.0,726.0,0.0,2.0,728.0,0.0
