pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,Tendered votes,No. of rejected Votes (Test Votes),Votes for 'NOTA' option,Total votes
20,Berhampur,136,Berhampur,24,,,,,,,,57,92,109,3,3,3,3,2,272,0,0,5,277
20,Berhampur,136,Berhampur,25,,,,,,,,271,416,158,13,4,3,7,9,881,0,0,13,894
20,Berhampur,136,Berhampur,26,,,,,,,,142,321,259,9,3,2,2,2,740,0,0,2,742
20,Berhampur,136,Berhampur,27,,,,,,,,231,181,58,5,5,3,6,7,496,0,0,21,517
20,Berhampur,136,Berhampur,28,,,,,,,,235,163,82,3,0,6,5,4,498,0,0,5,503
20,Berhampur,136,Berhampur,29,,,,,,,,66,23,71,5,0,3,0,2,170,0,0,2,172
20,Berhampur,136,Berhampur,30,,,,,,,,201,145,166,6,5,1,0,1,525,0,0,5,530
20,Berhampur,136,Berhampur,31,,,,,,,,332,26,42,6,1,1,4,0,412,0,0,3,415
20,Berhampur,136,Berhampur,32,,,,,,,,85,220,192,6,1,2,0,1,507,0,0,3,510
20,Berhampur,136,Berhampur,33,,,,,,,,9,116,239,9,3,0,1,2,379,0,0,2,381
20,Berhampur,136,Berhampur,34,,,,,,,,255,187,195,0,3,3,4,1,648,0,0,2,650
20,Berhampur,136,Berhampur,35,,,,,,,,191,203,358,16,10,9,53,6,846,0,0,1,847
20,Berhampur,136,Berhampur,36,,,,,,,,97,136,359,9,6,5,15,6,633,0,0,15,648
20,Berhampur,136,Berhampur,37,,,,,,,,102,162,190,8,2,5,8,5,482,0,0,13,495
20,Berhampur,136,Berhampur,38,,,,,,,,139,205,146,4,5,1,6,3,509,0,0,10,519
20,Berhampur,136,Berhampur,39,,,,,,,,60,269,209,3,2,3,2,2,550,0,0,0,550
20,Berhampur,136,Berhampur,40,,,,,,,,81,200,41,0,3,3,19,3,350,0,0,9,359
20,Berhampur,136,Berhampur,41,,,,,,,,153,230,75,9,2,2,31,1,503,0,0,2,505
20,Berhampur,136,Berhampur,42,,,,,,,,152,74,29,4,3,4,2,0,268,0,0,3,271
20,Berhampur,136,Berhampur,43,,,,,,,,165,322,112,2,6,11,22,8,648,0,0,12,660
20,Berhampur,136,Berhampur,44,,,,,,,,165,85,88,0,1,1,2,3,345,0,0,3,348
20,Berhampur,136,Berhampur,45,,,,,,,,133,255,155,7,7,7,42,4,610,0,0,5,615
20,Berhampur,136,Berhampur,46,,,,,,,,42,367,404,6,1,1,6,4,831,0,0,12,843
20,Berhampur,136,Berhampur,47,,,,,,,,274,256,62,4,2,1,5,1,605,0,0,2,607
20,Berhampur,136,Berhampur,48,,,,,,,,109,163,137,5,5,8,4,4,435,0,0,12,447
20,Berhampur,136,Berhampur,49,,,,,,,,298,194,37,4,7,11,21,11,583,0,0,17,600
20,Berhampur,136,Berhampur,50,,,,,,,,283,84,60,6,3,1,10,2,449,0,0,3,452
20,Berhampur,136,Berhampur,51,,,,,,,,246,53,5,2,0,1,3,2,312,0,0,6,318
20,Berhampur,136,Berhampur,52,,,,,,,,212,245,38,6,6,5,10,13,535,0,0,25,560
20,Berhampur,136,Berhampur,53,,,,,,,,48,162,352,2,2,0,0,0,566,0,0,0,566
20,Berhampur,136,Berhampur,54,,,,,,,,160,220,104,5,1,2,17,2,511,0,0,3,514
20,Berhampur,136,Berhampur,55,,,,,,,,394,179,23,8,5,9,34,10,662,0,0,19,681
20,Berhampur,136,Berhampur,56,,,,,,,,141,104,46,3,4,4,12,4,318,0,0,4,322
20,Berhampur,136,Berhampur,57,,,,,,,,76,220,261,5,5,4,7,9,587,0,0,23,610
20,Berhampur,136,Berhampur,58,,,,,,,,249,133,11,1,6,2,162,7,571,0,0,7,578
20,Berhampur,136,Berhampur,59,,,,,,,,38,111,10,10,5,12,146,12,344,0,0,13,357
20,Berhampur,136,Berhampur,60,,,,,,,,378,127,134,4,5,0,39,1,688,0,0,1,689
20,Berhampur,136,Berhampur,61,,,,,,,,472,117,66,9,11,5,59,3,742,0,0,11,753
20,Berhampur,136,Berhampur,62,,,,,,,,275,123,46,12,4,3,127,8,598,0,0,16,614
20,Berhampur,136,Berhampur,63,,,,,,,,242,320,43,8,6,1,17,4,641,0,0,14,655
20,Berhampur,136,Berhampur,64,,,,,,,,170,333,23,6,5,15,15,20,587,0,0,42,629
